Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Insaaf,Kedar Kapoor,"Nalini Jaywant, Ajit, Johnny Walker, Durga Khote, Helen, Tiwari, Kamal Kapoor",Costume Action Drama,,1956,"Chitragupta Lyrics: Asad Bhopali, Hasrat Jaipuri, Anjum Jaipuri",,
Inspector,Shakti Samanta,"Ashok Kumar, Geeta Bali, K. N. Singh, Pran, Nazir Hussain, Mukri, Achala Sachdev, Mehmood, Pratima Devi, Kammo",Crime Romance,,1956,Music: Hemant Kumar Lyrics: S. H. Bihari,,
Jagte Raho,"Amit Maitra, Sombhu Mitra","Raj Kapoor, Motilal, Sp. app. Nargis, Pradeep Kumar, Sumitra Devi, Smriti Biswas, Daisy Irani, Nana Palsikar",Social,,1956,"Music: Salil Choudhary Lyrics: Prem Dhawan, Shailendra",,
Jayshree,"Harsukh Jagneshwar Bhatt, Bhalchandra Shukla","Pradeep Kumar, Nimmi, Jayant, Jeevan, Lalita Pawar, Radhakrishan, Daisy Irani, Chaman Puri, Vijay Kumar",Social Drama,,1956,"Music: Chitragupta Lyrics: Gopal Singh Nepali, Anjum Jaipuri",,
Jaldeep,Kidar Sharma,"Ashok Sharma, Zeb Rehman, Mala Sinha, C. S. Dubey, Achala Sachdev",Children,,1956,"Best Children's Film- International Venice Film Festival, 1957. All India Certificate for Merit as the Best Children's Film- State Awards for Film, 1960. Music: Snehal Bhatkar Lyrics: Kidar Sharma, Kaif Irfani, Himmat Rai Sharma",,
Jallad,Jay Bee,"Veena, Nasir Khan, Munawar Sultana, Tiwari, Gope, Sheela Vaz, Heera Sawant",Action,,1956,"Music: Nashad Lyrics: Jan Nisar Akhtar, Sartaj Rahmani, Khumar Barabankvi, Shewan Rizvi",,
Jungle Queen,Nari Ghadiali,"Fearless Nadia, John Cawas, Maqbul, Habib, Heera Sawant, Sheikh",Action,,1956,Music: Nisar Bazmi Lyrics: Preetam Dehlvi,,
Kar Bhala,Bhagwan,"Begum Para, Nasir Khan, Bhagwan, Kumkum, Pran, Shashikala, Baburao Pendharkar, Kanchanmala, Minu Mumtaz",Action,,1956,Music: Nisar Chik Choklet Lyrics: Majrooh Sultanpuri,,
Karwan,Rafiq Rizvi,"Mahipal, Shakila, Yashodhara Katju, Gope, Cuckoo, Helen, Hiralal",Costume Drama,,1956,"Music: S. Mohinder Lyrics: Tanveer Naqvi, Sarshar Sailani, Bhushan",,
Khul Ja Sim Sim,Nanubhai Vakil,"Mahipal, Shakila, Helen, Hiralal, Krishna Kumari, Niranjan Sharma",Fantasy,,1956,Music: Hansraj Behl Lyrics: Asad Bhopali,,
Kismet,Nanabhai Bhatt,"Nishi, Peace Kanwal, Ranjan, Tiwari, Helen, Gope, Malika, Maqbul, Cuckoo",Action,,1956,Music: Chitragupta Lyrics: Indeevar,,
Kismet Ka Khel,Kishore Sahu,"Vyjayantimala, Sunil Dutt, Begum Para, Yashodhara Katju, Kamaljeet, Kanchanmala, Mukri, Jagdeep, Bhudo Advani, Tun Tun, Moni Chatterjee",Social,,1956,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Lal-E-Yaman,Nanubhai Vakil,"Mahipal, Anita Guha, Chitra, Daljeet, W. M. Khan, Minu Mumtaz, Helen, Hiralal",Costume Fantasy,,1956,"Music: A. R. Qureshi Lyrics: Kaif Irfani, Khumar Barabankvi",,
Lalkaar,Nanubhai Vakil,"Mahipal, Nirupa Roy, Kumkum, Krishna Kumari, Radhkrishan, W. M. Khan, Hiralal, Nalini Chonkar",Action Costume,,1956,"Music: Sanmukh Babu Lyrics: Kavi Pradeep, Bharat Vyas, Pandit Madhur",,
Lalten,Tara Harish,"Motilal, Geeta Bali, Mukri, Harish, Bhudo Advani, Mohan Choti, Kanhaiyalal, Shammi, Indira Bansal",Social Romance Lost and Found,,1956,"Music: Hemant Kumar Lyrics: Indeevar, Shewan Rizvi, Kaif Irfani",,
Makkhee Choos,Ramchandra Thakur,"Mahipal, Shyama, Bhagwan, Gope, Leela Mishra, Jeevan, Moti Sagar, Shammi",Comedy,,1956,"Music: Vinod Lyrics: D. N. Madhok, Pandit Indra, Pyarelal Santoshi",,
Malika,Majnu,"Mahipal, Shakila, Chandrashekhar, Yashodhara Katju, Om Prakash, Kumkum, Sunder, Ram Avtar",Costume,,1956,"Music: Hansraj Behl Lyrics: Asad Bhopali, Tanveer Naqvi, Verma Malik",,
Mem Sahib,R. C. Talwar,"Shammi Kapoor, Meena Kumari, Kishore Kumar, Kumkum, Mehmood, Pratima Devi. Randhir",Social,,1956,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Mr. Chakram,S. P. Bakshi,"Chandrashekhar, Shyama, Kumkum, Om Prakash, Sunder, Ranjana, Randhir",,,1956,Music: Husnlal Bhagatram Lyrics: Nakshab,,
Mr. Lambu,N. A. Ansari,"Sheikh Mukhtar, Suraiya, Kamaljit Bhagwan, Vijay Laxmi, Minu Mumtaz Helen, N. A. Ansari",Social Crime,,1956,"Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri, Jan Nisar Akhtar, Harsh",,
Naqab POsh,Ram Pahwa,"Manhar Desai, Chitra, Kumkum, Gope, Maya Dass, Anwar Hussain, Bhudo Advani",Costume Thriller,,1956,"Music Lyrics: Hasrat Jaipuri, Raja Mehdi Ali Khan, Munir Arzoo Kazmi, Mile Lakhnavi,",,
Naya Andaz,K. Amarnath,"Kishore Kumar, Meena Kumari, Johnny Walker, Gope, Pran, Kumkum, Murad, Jayant, Sapru",Social Romance,,1956,Music:O. P. Nayyar Lyrics: Jan Nisar Akhtar,,
New Delhi,Mohan Sehgal,"Kishore Kumar, Vyjayantimala, Jabeen, Anwar Hussain, Dhumal, Nazir Hussain, Prabhu Dayal, Nana Palsikar",Family Drama,,1956,"Music: Shankar Jaikishan Lyrics: Hasrat Jaipuri, Shailendra",,
Paisa Hi Paisa,Mehrish,"Kishore Kumar, Mala Sinha, Shakila, Radhakrishan, I. S. Johar, Leela Mishra, Amar, Murad, Mukri, Zul Vellani, Husn Banu",Comedy Family,,1956,Music: Anil Biswas Lyrics: Majrooh Sultanpuri,,
Parivar,Asit Sen,"Kishore Kumar, P. Jairaj, Usha Kiran, Durga Khote, Sajjan, Agha, Hiralal, Dhumal",Family Drama,,1956,Music: Salil Chowdhary Lyrics: Shailendra,,
Passing Show,Bhagwan,"Chandrashekhar, Shakila, Purnima, Bhagwan, Daljeet",Action,,1956,Music: Manohar Lyrics: Prem Dhawan,,
Patrani,Vijay Bhatt,"Vyjayanthimala, Pradeep Kumar, Shashikala, Durga Khote, Om Prakash, Jeevan, David Abraham Cheulkar, Leela Mishra, Kanchanmala, Praveen Paul, Ramesh Sinha, Krishnakant, Helen, Sheela Vaz",Costume Drama,,1956,Music: Shankar Jaikishan Lyrics: Shailendra,,
Pocket Maar,H. S. Rawail,"Dev Anand, Geeta Bali, Nadira, Lalita Pawar, Gope, Tiwari, Bhagwan, Minu Mumtaz, Tun Tun",Social Crime,,1956,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Mother India,,,,,1957,"The film became a blockbuster at the box office, eventually becoming the highest-grossing film of the decade. It was directed by Mehboob Khan and starred Nargis, Sunil Dutt, Rajendra Kumar and Raaj Kumar. The music was composed by Naushad.",,1.0
Naya Daur,,,,,1957,"Dilip Kumar and Vyjayantimala star in a drama, where the horse-cart drivers fight against the introduction of buses to the town, threatening their livelihoods. Music for the film was composed by O.P. Nayyar.",,2.0
Pyaasa,,,,,1957,"Considered one of Guru Dutt's finest films, it stars him, Waheeda Rehman and Mala Sinha in a romantic drama about a poet who rebels against the norms of society and grows cynical of the world.",,3.0
Do Aankhen Barah Haath,,,,,1957,"V Shantaram, Sandhya",,4.0
Tumsa Nahin Dekha,,,,,1957,"The film that made Shammi Kapoor into a star, it was supposed to be a star vehicle for the heroine Ameeta. It was directed by Nasir Hussain and the music was composed by O.P. Nayyar.",,5.0
Paying Guest,,,,,1957,"Dev Anand, Nutan",,6.0
Aasha,,,,,1957,"Kishore Kumar, Vyjayantimala",,7.0
Bhabhi,,,,,1957,"Balraj Sahni, Nanda",,8.0
Sharada,,,,,1957,"Raj Kapoor, Meena Kumari, Shyama",,9.0
Musafir,,,,,1957,"Dilip Kumar, Suchitra Sen",,10.0
Nau Do Gyarah,,,,,1957,"Dev Anand, Kalpana Kartik",,11.0
Ek Saal,,,,,1957,"Madhubala, Ashok Kumar",,12.0
Aadhi Roti,Chandrakant,"Prem Adib, Bhagwan, Sulochana, Daisy Irani, Bimla Kumari, Amirbai Karnataki, Manorama, Ratnamala, Rajan Haksar",Social,,1957,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Aasha,M. V. Raman,"Kishore Kumar, Vyjayantimala, Pran, Minu Mumtaz, Lalita Pawar, Om Prakash, Asha Parekh, Dhumal, Sunder",Musical Thriller Drama,,1957,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Aadmi,Navnit Rai,"Nasir Khan, Begum Para, Yakub, Uma Dutt, Nirmal Kumar, Kamal Mehra, Kammo",Romance Drama,,1957,Loosely based on Cyrano de Bergerac. Music: Ramnath Lyrics: Sartaj Rahmani,,
Ab Dilli Dur Nahin,Amar Kumar,"Motilal, Master Romi, Sulochana, Yakub, Anwar Hussain, Amjad Khan, Iftekhar, Hari Shivdasani, Nana Palsikar",Social Drama,,1957,"Produced by Raj Kapoor. Music: Dattaram Lyrics: Shailendra, Hasrat Jaipuri",,
Abhimaan,Mahesh Kaul,"Shekhar, Ameeta, Chand Usmani, Mehmood, Yakub, Nazir Hussain, Leela Mishra, Badri Prasad, Sheela Vaz, Ram Avtar, Indira Bansal",Social Family Drama,,1957,"Music: Anil Biswas Lyrics: Indeevar, Pandit Madhur, Saraswati Kumar Deepak",,
Agra Road,Ravindra Dave,"Vijay Anand, Shakila, Nanda, Bhagwan, Amarnath, Dhumal,","Romance, Crime",,1957,"Music: Roshan Lyrics: Bharat Vyas, Prem Dhawan",,
Alladdin Leila,Lekhraj Bhakri,"Mahipal, Shakila, Krishna Kumari, Lalita Pawar, Niranjan Sharma, Tun Tun, Nazir Kashmiri, Kammo, Kanchanmala",Fantasy,,1957,Music: A. R. Qureshi Lyrics: Asad Bhopali,,
Amar Singh Rathod,Jaswant Zaveri,"Jairaj, Nirupa Roy, Murad, Veena, Ramesh Sinha, Raaj Kumar, Helen, Nasir",Historical,,1957,Music: Sanmukh Babu Lyrics: Bharat Vyas,,
Anjali,Chetan Anand,"Nimmi, Chetan Anand, Sheila Ramani, Sitara Devi, Kumkum, Krishan Dhawan, Madan Puri",Social Drama,,1957,Music: Jaidev Lyrics: Nyay Sharma,,
Apradhi Kaun?,Asit Sen,"Abhi Bhattacharya, Mala Sinha, Suresh, Tarun Bose, Murad, Jagirdar, Dhumal, Kammo, Lillian",,,1957,Produced by Bimal Roy. Music: Salil Chowdhary Lyrics: Majrooh Sultanpuri,,
Baarish,Shankar Mukherjee,"Dev Anand, Nutan, Mehmood, Kumkum, Madan Puri, Lalita Pawar, Gope, Helen, Nana Palsikar",Romance Social,,1957,Music: C. Ramachandra Lyrics: Rajendra Krishan,,
Bada Bhai,K. Amarnath,"Ajit, Kamini Kaushal, Ameeta, Kumkum, Tun Tun, Nazir Hussain, Jayant, Anant Kumar",Family,,1957,"Music:Nashad Lyrics: Ehsan Rizvi, Raja Mehdi Ali Khan",,
Bade Sarkar,Kishore Sahu,"Kishore Sahu, Kamini Kaushal, K. N. Singh, Sajjan, Durga Khote, Raj Kumar, Gope, Agha, Kanu Roy, Vijaylaxmi, Ram Avtar",Social,,1957,Music: O. P. Nayyar Lyrics: Sahir Ludhianvi,,
Bandi,Satyen Bose,"Ashok Kumar, Bina Rai, Shyama, Kishore Kumar, Nanda, Leela Mishra, Anoop Kumar, Kanhaiyalal, Kammo",Family Drama,,1957,"Music: Hemant Kumar Lyrics: Rajendra Krishan, Ravi, Prem Dhawan",,
Bansari Bala,Nanubhai Vakil,"Daljeet, Kumkum, Tiwari, Maruti",Fantasy,,1957,Music: Kamal Mitra,,
Begunah,Narindra Suri,"Kishore Kumar, Shakila, Radhakrishan, Mubarak, Helen, Tun Tun, Krishnakant, Samson, Raja Nene, Sheela Vaz, Pravin Paul, Moni Chatterjee",Thriller Comedy,,1957,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Bhabhi,"R. Krishnan, S. Panju","Balraj Sahni, Nanda, Shyama, Jagdeep, Durga Khote, Om Prakash, Agha, Bhagwan, Bipin Gupta, Manorama",Family Drama,,1957,Music: Chitragupta Lyrics: Rajendra Krishan,,
Bhakta Dhruva,Gunjal,"Trilok Kapoor, Shahu Modak, Sulochana, Jeevan, Shammi, Sunder, Kanchanmala, Anant Kumar, Amar",Mythological,,1957,Music: Basant Prakash Lyrics: Pandit Madhur,,
Captain Kishore,JBH Wadia,"Suresh, Shashikala, Sheikh Mukhtar, Vijaya Chaudhary, Anwar Hussain, Naina, Tun Tun, Roopmala",Action,,1957,"Music: Chitragupta Lyrics: Raja Mehdi Ali Khan, Khumar Barabankvi, Tanvir Naqvi",,
Champakali,Nandlal Jaswantlal,"Bharat Bhushan, Suchitra Sen, Pran, Shubha Khote, Mubarak, Ram Avtar",Romance,,1957,Music: Hemant Kumar Lyrics: Rajendra Krishan,,
Chandi Puja,Raman B. Desai,"Nirupa Roy, Manhar Desai, Shanta Apte, Prem Adib, Sudhir, Moni Chatterjee, Sapru",Devotional,,1957,Music: Ajit Merchant Lyrics: Kavi Pradeep,,
Chenghiz Khan,Kedar Kapoor,"Premnath, Bina Rai, Sheikh Mukhtar, Leela Mishra, Johnny Walker, Tiwari, Jeevan, Helen, Sunder, Jagdish Kanwal",Action,,1957,"Music: Hansraj Behl Lyrics: Qamar Jalalabadi, Verma Malik",,
Chhote Babu,Harsukh Bhatt,"Shekhar, Nimmi, Leela Mishra, Abhi Bhattacharya, Helen, Agha, Kanhaiyalal",Social Family,,1957,"Music: Madan Mohan Lyrics: Indeevar, Pyare Lal Santoshi",,
Coffee House,Hari Walia,"Shammi Kapoor, Geeta Bali, Chanchal, Bhagwan, Jeevan, Helen, Vijayalaxmi",Social Romance,,1957,"Music: Roshan Lyrics: Prem Dhawan, Hasrat Jaipuri",,
Dekh Kabira Roya,Amiya Chakrabarty,"Anita Guha, Ameeta, Shubha Khote, Anoop Kumar, Daljeet, Jawahar Kaul, Sunder",Comedy,,1957,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Diler Daku,Noshir Engineer,"Nadia, John Cawas, Vijaya Choudhary, Dalpat, Samar Roy, Heera Sawant, Habib",Action Costume,,1957,Music: Shafi M. Nagri Lyrics: Pandit Chand,,
Do Aankhen Barah Haath,V. Shantaram,"Sandhya, Ulhas, B. M. Vyas, Paul Sharma, S. K. Singh, Baburao Pendharkar, Keshavrao Date",Social,,1957,Entered into the 8th Berlin International Film Festival where it won the Silver Bear Extraordinary Prize of the Jury. It won the National Award for Best Feature Film of 1957 National Film Awards Music: Vasant Desai Lyrics: Bharat Vyas,,
Do Roti,Ismail Memon,"Balraj Sahni, Nirupa Roy, Nazir Hussain, Mehmood, Nalini Chonkar, Minu Mumtaz, Kanhaiyalal, Leela Mishra, Nana Palsikar",Social Drama,,1957,Music: Roshan Lyrics: Khumar Barabankvi,,
Duniya Rang Rangili,M. Sadiq,"Rajendra Kumar, Shyama, Johnny Walker, Chand Usmani, Amar, Jeevan, Parshuram, Helen, S. N. Bannerjee, Kanchanmala, Amir Bano",Comedy Thriller,,1957,Music: O. P. Nayyar Lyrics: Jan Nissar Akhtar,,
Dushman,Raj Rishi,"Dev Anand, Usha Kiran, Kumkum, Prabhu Dayal, Radhakrishan, Master Romi, Minu Mumtaz, Chand Burq, Jagdish Kanwal",Social Action,,1957,"Music: Husnlal Bhagatram Lyrics: Prem Dhawan, Pyarelal Santoshi",,
Ek Gaon Ki Kahani,Dulal Guha,"Mala Sinha, Talat Mahmood, Abhi Bhattacharya, I. S. Johar, Nirupa Roy, Lalita Pawar, Bipin Gupta, Dulari",Social Family,,1957,Music: Salil Choudhury Lyrics: Shailendra,,
Ek Jhalak,Kalidas,"Pradeep Kumar, Vyjayantimala, Rajendra Kumar, Anita Guha, Pran, Lalita Pawar, Om Prakash, Bipin Gupta, Tun Tun, Mubarak",Social,,1957,Produced by Pradeep Kumar. Music: Hemant Kumar Lyrics: S. H. Bihari,,
Ek Saal,Devendra Goel,"Ashok Kumar, Madhubala, Johnny Walker, Kuldip Kaur, Minu Mumtaz, Madan Puri, Mehmood, Nazir Kashmiri, Pratima Devi",Social Crime,,1957,Music: Ravi Lyrics: Prem Dhawan,,
Fashion,Lekhraj Bhakri,"Pradeep Kumar, Mala Sinha, Manoj Kumar, Chandrashekhar, Jabeen, Jagdish Sethi, Amir Bano, Kammo, Leela Mishra",Social,,1957,Music: Hemant Kumar Lyrics: Bharat Vyas,,
Garma Garam,Pyare Lal Santoshi,"Bhagwan, Nadira, Agha, Krishna Kumari, Om Prakash, B. M. Vyas, Gope, Maruti,",Action,,1957,"Music: Vinod Lyrics: Pyare Lal Santoshi, D. N. Madhok",,
Gateway of India,Om Prakash,"Madhubala, Bharat Bhushan, Pradeep Kumar, Anita Guha, Johnny Walker, Bhagwan, Tony Walker, Raj Mehra",Thriller Suspense,,1957,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Hazaar Pariyan,Balwant Bhatt,"Kamal Kapoor, Jaymala, Ratnamala, B. M. Vyas, Shukla, Mirza Musharaf",Fantasy,,1957,"Music: Lachhiram Tamar, K. Narayana Rao",,
Hill Station,Shakti Samanta,"Pradeep Kumar, Bina Rai, Shyama, K. N. Singh, Pratima Devi, Maruti, Nazir Kashmiri, Sheela Vaz",Social Romance,,1957,Music: Hemant Kumar Lyrics: S. H. Bihari,,
Hum Panchhi Ek Daal Ke,P. L. Santoshi,"Jagdeep, Master Romi, Daisy Irani, Mohan Choti, Satish Vyas, Achala Sachdev, Amirbai Karnataki, David, Murad, Niranjan Sharma",Children Drama,,1957,Music: N. Dutta Lyrics: Pyare Lal Santoshi,,
Jaani Dushman,Shivraj,"Shivraj, Kamlesh Kumari, Anees, Aruna, Suryakant, Datta Chavan, Baburao Pendharkar",Social Action,,1957,Music: N. A. Dagar Lyrics: C. M. Hunar,,
Jahazi Lutera,Akkoo,"Jairaj Shashikala, Anwar Hussain, Maruti, Heera Sawant, Rooplaxmi, Habib, Maqbul, Ram Kumar",Action,,1957,"Music: Bulo C. Rani Lyrics: Sartaj Rahmani, Saba Afghani",,
Jai Ambe,Shanti Kumar,"Sulochana, Manhar Desai, Jeevan, Sapru, Niranjan Sharma, Kanchanmala, Raj Kumar, Heera Sawant",Devotional,,1957,Music: Shivram Lyrics: Bharat Vyas,,
Jalti Nishani,Tara Harish,"Geeta Bali, Kamal Kapoor, Kuldip Kaur, Ulhas, Chaman Puri, Sunder, Nazir Kashmiri,",,,1957,Music: Anil Biswas Lyrics: Qamar Jalalabadi,,
Janam Janam Ke Phere a.k.a. Sati Anapurna,Manoo Desai,"Nirupa Roy, Mahipal, Manhar Desai, Krishna Kumari B. M. Vyas, S. N. Tripathi, Amirbai Karnataki, Satish Vyas",Family Drama Devotional,,1957,Music: S. N. Tripathi Lyrics: Bharat Vyas,,
Jannat,Mohan Sinha,"Mahipal, Shyama, Krishna Kumari, Sapru, Tiwari, Maruti",Fantasy,,1957,Music: Husnlal Bhagatram Lyrics: Kaifi Azmi,,
Jeevan Sathi,R. S. Tara,"Ashok Kumar, Usha Kiran, Anoop Kumar, Jabeen, Daisy Irani, Murad, Leela Mishra, Amarnath, Iftekhar, Dhumal",Family Drama,,1957,"Music: Bulo C. Rani Lyrics: Indeevar, Kumud Tripathi, D. N. Madhok",,
Johnny Walker,Ved Madan,"Johnny Walker, Shyama, Sulochana (Ruby Myers), Daljeet, Raj Mehra, Haroon, Sheela Vaz, W. M. Khan, Amar",Comedy,,1957,Music: O. P. Nayyar Lyrics: Hasrat Jaipuri,,
Kathputli,Amiya Chakravarty,"Vyjayantimala, Balraj Sahni, Jawahar Kaul, Poonam, Sheela Kashmiri, Kamala Laxman, C. S. Dubey",Drama,,1957,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Khuda Ka Banda,Chaturbhuj Doshi,"Chandrashekhar, Krishna Kumari, Tiwari, Maruti, Gope, Ishwarlal, Amirbai Karnataki, Roopmala, Ratnamala, Jagdish Kanwal, Moni Chatterjee",Action Costume,,1957,Music: S. N. Tripathi Lyrics: Shewan Rizvi,,
Kitna Badal Gaya Insaan,I. S. Johar,"Nalini Jaywant, Ajit, I S Johar, Kamaljeet, Harbans Lal",Social,,1957,Music: Hemant Kumar Lyrics: S. H. Bihari,,
Krishna Sudama,Shanti Kumar,"Balraj Sahni, Nirupa Roy, Prem Adib, Raj Kumar, Umakant, Indira Bansal,",Religious,,1957,"Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi, Pandit Radheshyam, Ramesh Gupta",,
Lal Batti,Balraj Sahni,"Balraj Sahni, Mala Sinha, Shashikala, Brahm Bhardwaj, Sulochana (Ruby Myers), Jawahar Kaul",Social,,1957,Music:Salil Chowdhury Lyrics: Majrooh Sultanpuri,,
Laxmi,G. P. Pawar,"Chandrashekhar, Kamal Kapoor, Nanda, Tiwari, Roopmala, Moni Chatterjee, Parshuram, Ratnamala, Ram Avtar",Social,,1957,Music: Avinash Vyas Lyrics: Qamar Jalalabadi,,
Laxmi Pooja,Jayant Desai,"Nirupa Roy, Shahu Modak, Anant Kumar, Jeevan, Niranjan Sharma, Minu Mumtaz, Praveen Paul",Devotional,,1957,Music: Chitragupta Lyrics: Bharat Vyas,,
Maharani,A. Karim,"Shammi Kapoor, Shyama, Kuldip Kaur, Ulhas, Maruti, Anwar Hussain, Tun Tun, Jankidas",Costume,,1957,"Music: Basant Prakash Lyrics: Hasrat Jaipuri, Wali Sahab",,
Mai Baap,M. Sadiq,"Balraj Sahni, Shyama, Nazir Hussain, Johnny Walker, Minu Mumtaz, Raj Mehra",Family Social,,1957,"Music: O. P. Nayyar Lyrics: Qamar Jalalabadi, Anjaan, Jan Nisar Akhtar",,
Maya Nagri,A. M. Khan,"Mahipal, Shakila, Krishna Kumari, N. A. Ansari, Murad, Kanchanmala, Amarnath, Jagdish Kanwal",Fantasy,,1957,"Music: B. N. Bali Lyrics: Bekas Muradabadi, Dukhi Amritsari, Anjaan",,
Mera Salaam,Harbans,"Bharat Bhushan, Bina Rai, Nishi, K. N. Singh, Durga Khote, Veena, Gope",Social,,1957,Music: Hafeez Khan Lyrics: Shewan Rizvi,,
Mirza Sahiban,Ravi Kapoor,"Shammi Kapoor, Shyama, Madan Puri, Tun Tun, Mukri",Legend Romance,,1957,"Music: Sardul Kawatra Lyrics: Verma Malik, Prem Dhawan",,
Miss Bombay,V. Vakil,"Ajit, Nalini Jaywant, Bhagwan, Nishi, Rehman, Vijayalaxmi, Shammi, Daljeet",Action Social,,1957,"Music: Hansraj Behl Lyrics: Qamar Jalalabadi, Asad Bhopali, Prem Dhawan",,
Miss India,I. S. Johar,"Nargis Dutt, Pradeep Kumar, Nishi, Pran, I. S. Johar, Minu Mumtaz, Shammi",Social,,1957,Music: S. D. Burman Lyrics: Rajendra Krishan,,
Miss Mary,L.V. Prasad,"Meena Kumari, Gemini Ganesan, Kishore Kumar, Jamuna, Om Prakash, Achala Sachdev, Maruti, Jagdish Sethi, Shivraj",Comedy Family,,1957,Music: Hemant Kumar Lyrics: Rajendra Krishan,,
Mohini,Raman Desai,"Nirupa Roy, Shahu Modak, Shakila, Krishna Kumari, Madan Puri, Jagdish Kanwal, Rooplaxmi",Costume Fantasy,,1957,"Music: Datta Naik Lyrics: Hasrat Jaipuri, Raja Mehdi Ali Khan",,
Mother India,Mehboob Khan,"Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar, Kanhaiyalal, Kumkum, Chanchal, Sajid Khan",Social Drama,,1957,First Indian film to be nominated at Oscars in 1957 in the Best Foreign Language Film category. Certificate of Merit for the second best feature film at the Indian National Film Awards. Music: Naushad Lyrics: Shakeel Badayuni,,
Mr. X,Nanabhai Bhatt,"Ashok Kumar, Nalini Jaywant, Pran, Johnny Walker, Nishi, Sajjan, Murad, Helen, Amirbai Karnataki, Sheela Vaz",Action Thriller Fantasy,,1957,"Music: Datta Naik Lyrics: Hasrat Jaipuri, Majrooh Sultanpuri, Tanveer Naqvi, Bharat Vyas",,
Mumtaz Mahal,Ram Daryani,"Jairaj, Veena, Sheila Ramani, Agha, G. M. Durrani, Nazir Kashmiri, Heera Sawant",Historical Drama,,1957,"Music: Vinod Lyrics: Hasrat Jaipuri, Kaif Irfani, Pandit Priyadarshi",,
Musafir,Hrishikesh Mukherjee,"Dilip Kumar, Usha Kiran, Daisy Irani, Suchitra Sen, Shekhar, Kishore Kumar, Nirupa Roy, Nazir Hussain David, Bipin Gupta, Mohan Choti, Slochana Sen, Naaz",Social,,1957,Certificate of Merit for the third best feature film at the Indian National Film Awards Music: Salil Chowdhary Lyrics: Shailendra,,
Naag Lok,Babubhai Mistri,"Nirupa Roy, Shahu Modak, Krishna Kumari, Ajit, Tiwari, Kanta Kumari, Dalpat",Fantasy,,1957,"Music: Ramlal Heerapanna Lyrics: Bharat Vyas, Saraswati Kumar Deepak, Pyarelal Santoshi",,
Naag Mani,Raman Desai,"Nirupa Roy, Manhar Desai, Trilok Kapoor, Yashodra Katju, Sunder, Helen, S. N. Tripathi, Rajan Haksar, Heera Sawant",Fantasy,,1957,Music: Avinash Vyas Lyrics: Kavi Pradeep,,
Naag Padmini,Lekhraj Bhakri,"Mahipal, Shakila, Krishna Kumari, Daljeet, Kammo, Tiwari, Kanchanmala, Niranjan Sharma",Fantasy,,1957,Music: Sanmukh Babu Lyrics: Prem Dhawan,,
Narsi Bhagat,Devendra Goel,"Nirupa Roy, Shahu Modak, Lalita Pawar, Radha Krishan, Niranjan Sharma, Kanchanmala, Minu Mumtaz",Devotional,,1957,Music: Ravi Lyrics: Gopal Singh Nepali,,
Nau Do Gyarah,Vijay Anand,"Dev Anand, Kalpana Kartik, Jeevan, Lalita Pawar, Shashikala, Madan Puri, Rashid Khan, Helen, Jagdish Raj, Nazir Kashmiri, Tun Tun","Romance, Thriller",,1957,Music: S. D. Burman Lyrics: Majrooh Sultanpuri,,
Nausherwan-E-Adil,Sohrab Modi,"Raaj Kumar, Mala Sinha, Sohrab Modi, Naseem Bano, Murad, Agha, Shammi",Drama Action Adventure,,1957,Music: C. Ramchandra Lyrics: Parvez Shamsi,,
Naya Daur,B R Chopra,"Dilip Kumar, Vyjayanthimala, Ajit, J. Walker, Jeevan, Nazir Hussain, Kumkum, Manmohan Krishna, Minu Mumtaz",Social Drama,,1957,Music: O. P. Nayyar Lyrics: Sahir Ludhianvi,,
Naya Zamana,Lekhraj Bhakri,"Pradeep Kumar, Mala Sinha, Veena, Badri Prasad, Leela Mishra, Gope, Kammo",Social,,1957,"Music: Kanu Ghosh Lyrics: Bharat Vyas, Prem Dhawan",,
Neelmani,Kundan Kumar,"Nalini Jaywant, Prem Adib, Raaj Kumar, Lalita Pawar, Sulochana Chatterjee, Kuldip Kaur, S N Tripathi, Mohan Choti",Devotional,,1957,"Lyrics: Chitragupta Lyrics: Bharat Vyas, Gopal Singh Nepali",,
Neelofar,P. N. Arora,"Chitra, Suresh, Nishi, Sunder, W. M. Khan, Amar, Helen",Costume Fantasy,,1957,"Music: Basant Prakash, Avinash Vyas Lyrics: Hasrat Jaipuri",,
Madhumati,,"Dilip Kumar, Vyjayantimala",,,1958,,,1.0
Chalti Ka Naam Gaadi,,"Madhubala, Kishore Kumar, Ashok Kumar",,,1958,,,2.0
